id,name,IS_Sharpe,OOS_Sharpe,decay,IS_CAGR,OOS_CAGR,IS_MDD,OOS_MDD,Full_Sharpe,Full_CAGR,turnover,flag,quarantined,stub
s29,Variance Risk Prem.,0.1270668062007232,0.527190124275013,0.4001233180742898,0.007890575692215851,0.06873714005754628,-0.5468384701038939,-0.21238936274696427,0.2455158554492382,0.02577521410347572,19.43514259429623,WEAK,False,False
s48,Gold/Copper Ratio,0.2732293638061212,0.5153859547014873,0.24215659089536612,0.034524164918576794,0.07291195660629146,-0.5518910694194643,-0.36534031045039983,0.33706029495262524,0.045896341148883746,1.1977920883164674,WEAK,False,False
s10,Bollinger Rev.,-0.002429420545151386,0.4747398395090669,0.4771692600542183,-0.023153822020868464,0.0738444405462626,-0.6375716256095463,-0.39069766513791554,0.12707181419342725,0.004993518063708846,26.886382239349125,WEAK,False,False
s03,DMA Crossover,0.06420867480246267,0.3848745261748896,0.3206658513724269,-0.0015698431204665964,0.045796055693700044,-0.4042147164148848,-0.35393593556669584,0.15761296589487334,0.012413010123969004,20.238454032934253,WEAK,False,False
s47,Yield Curve,0.4576466371143966,0.3181420967838833,-0.13950454033051335,0.0612226880767921,0.041795944783581174,-0.44041918660402646,-0.4553538782880824,0.41085189710849696,0.05535573630654467,2.8206071757129716,DECAY,False,False
s27,VIX Carry,0.4708809590610078,0.23886975209495068,-0.23201120696605712,0.10710522265254108,0.014885021117348574,-0.7030654042877238,-0.6451246327565212,0.3971478636826935,0.0785864644583163,5.448022079116836,DECAY,False,False
s24,Commodity Carry,-0.03270364503689054,0.14404862346458075,0.1767522685014713,-0.005592776755426132,0.009108310987006263,-0.3323431893933445,-0.19604730138964313,0.026862616686057834,-0.001204182599426007,1.4067821164149756,WEAK,False,False
s01,CS Momentum,0.16740164510890104,0.14345678950684215,-0.02394485560205889,0.008777064878759067,-0.0039016428471835285,-0.7846835627816864,-0.4826335644629478,0.15927971633768992,0.004955820959899215,6.532654970121623,WEAK,False,False
s34,Turn of Month,-0.21162768002336593,0.10780512727773262,0.3194328073010986,-0.020860175728621977,0.005458376949221355,-0.37806463983279764,-0.19696771666725776,-0.11796752178029993,-0.013036172540196511,23.183072677092916,WEAK,False,False
s41,Index Addition,-0.49143919882633436,0.10485498026408248,0.5962941790904168,-0.16990738665178207,-0.01984455293189702,-0.9799053563009449,-0.5072648684858239,-0.2963850613143134,-0.12746773006306078,13.908224342354977,WEAK,False,False
s39,Jan Reversal,0.14466541669729324,0.09999937082415403,-0.044666045873139215,0.010519478155954998,0.0028898926519840273,-0.5805725208300527,-0.49286027843362473,0.1306500654584348,0.008224059372904824,0.7328600789099136,WEAK,False,False
s05,Residual Momentum,0.06534272151287872,0.09109984915513686,0.02575712764225814,-0.002863580642366914,-0.00014281042954189527,-0.6232090441103206,-0.39325947647998916,0.07356859754924279,-0.0020479611033676903,5.536341309441407,WEAK,False,False
s21,Net Issuance,-0.10267093162479876,0.05418149644181272,0.15685242806661148,-0.01824087014846898,-0.0024773418883314857,-0.4668920820152096,-0.4233784418013519,-0.04790193013053398,-0.013537184845545891,0.8722564783352441,WEAK,False,False
